GeoFips,GeoName,LineCode,Description,2021,
10180,"Abilene, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,117.515,
10180,"Abilene, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),8848793,
10420,"Akron, OH (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),34041126,
10420,"Akron, OH (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,109.995,
10420,"Akron, OH (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),41058875,
10500,"Albany, GA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5210366,
10500,"Albany, GA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,99.453,
10500,"Albany, GA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),6462473,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),4523198,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,123.256,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),5608491,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),60212563,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,121.163,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),73995509,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),41184240,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,110.281,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),49480431,
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5546945,
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,99.655,
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),7037021,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),42806847,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,112.578,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),50960155,
11020,"Altoona, PA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5585623,
11020,"Altoona, PA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,108.153,
11020,"Altoona, PA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),6736868,
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),13706132,
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,119.381,
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),16313319,
11180,"Ames, IA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6166437,
11180,"Ames, IA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,115.829,
11180,"Ames, IA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),7583257,
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),23107205,
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,99.017,
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),28210676,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),23859602,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,123.053,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),28604834,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),4245199,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,102.155,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),5108424,
11540,"Appleton, WI (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),13475866,
11540,"Appleton, WI (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,119.637,
11540,"Appleton, WI (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),16202188,
11700,"Asheville, NC (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),19899215,
11700,"Asheville, NC (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,129.221,
11700,"Asheville, NC (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),24350043,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),9380964,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,121.696,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),11562554,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),399129858,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,136.534,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),473823474,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),12407031,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,92.655,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),15313041,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5898376,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,121.652,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),7335523,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),25479445,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,112.859,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),31718339,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),165604422,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,164.9,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),193773558,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),47528806,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,102.068,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),52239044,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),185182016,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,113.314,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),222967241,
12620,"Bangor, ME (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6309265,
12620,"Bangor, ME (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,112.282,
12620,"Bangor, ME (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),7813558,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),12083714,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,108.069,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),15150695,
